"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"A-Trust","A-Trust-Root-07","Not Included","","Not Included","Included","Server Authentication","Not Yet Included","","8AC552AD577E37AD2C6808D72AA331D6A96B4B3FEBFF34CE9BC0578E08055EC3"
"A-Trust","A-Trust-Root-09","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","7A38F708A35A31E42E1CF3220F9A2D273E7666354618B2464657D43D8E77ADC2"
"AC Camerfirma, S.A.","Chambers of Commerce Root","Removed","","Not Included","NotBefore","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Removed","","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3"
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Blocked","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Removed","","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0"
"AC Camerfirma, S.A.","CHAMBERS OF COMMERCE ROOT - 2016","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Not Yet Included","","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51"
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","Blocked","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Removed","","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA"
"AC Camerfirma, S.A.","GLOBAL CHAMBERSIGN ROOT - 2016","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109"
"Actalis","Actalis Authentication Root CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","55926084EC963A64B96E2ABE01CE0BA86A64FBFEBCC7AAB5AFC155B37FD76066"
"Agence Nationale de Certification Electronique","TunTrust Root CA","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","2E44102AB58CB85419451C8E19D9ACF3662CAFBC614B6A53960A30F7D0E2EB41"
"Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados CGN V2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","F4336BC2AC75950BECCF1C1F2F9DA6DDDAFD1F41161CA71F59C76889BD474033"
"Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados Notariales V2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","4BE8B5A1C76C6AEAD0611918FCCF9DBD398B67FB12294758BDF994D0F9682F60"
"Amazon Trust Services","Amazon Root CA 1","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","8ECDE6884F3D87B1125BA31AC3FCB13D7016DE7F57CC904FE1CB97C6AE98196E"
